Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
10033,"REISCHE, BRETT",M,"$63,342.00 ",FRS,Fire and Rescue Services,Fleet,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,ELIZABETH RODRIGUEZ,Filled,11/17/2014,11/24/2014,12/8/2014,12/27/2014,1/7/2015,1/13/2015,1/18/2015,1/29/2015
10034,"RAULERSON, VEOLA",F,"$27,660.80 ",DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/2/2014,11/18/2014,11/28/2014,12/17/2014,1/1/2015,1/10/2015,1/18/2015,1/29/2015
10035,"SLEEZER, EZEKIEL",M,"$55,424.25 ",FRS,Fire and Rescue Services,Fleet,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,MICHAEL GARCIA,Filled,11/8/2014,11/23/2014,12/6/2014,12/24/2014,12/29/2014,1/8/2015,1/17/2015,1/29/2015
10036,"PLOEHN, JACQUES",M,"$27,660.80 ",DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/8/2014,11/20/2014,11/25/2014,12/16/2014,12/28/2014,1/5/2015,1/16/2015,1/29/2015
10037,"DIAZBARRIGA, WILEY",M,"$44,080.00 ",COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),MARY SMITH,Filled,11/7/2014,11/21/2014,12/2/2014,12/19/2014,1/2/2015,1/9/2015,1/15/2015,1/29/2015
10038,"POETKER, INELL",F,"$48,824.34 ",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,THOMAS WHITE,Filled,11/4/2014,11/10/2014,11/21/2014,12/10/2014,12/20/2014,1/1/2015,1/10/2015,1/29/2015
10039,"KOSKINAS, ANNALISA",F,"$56,100.00 ",DPS,Department of Permitting Services,Director's Office,Fulltime-Regular,Administrative Specialist II,MICHAEL GARCIA,Filled,10/20/2014,11/3/2014,11/18/2014,12/5/2014,12/22/2014,12/30/2014,1/8/2015,1/29/2015
10040,"SUING, CHERRYL",F,"$65,722.13 ",HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/30/2014,12/8/2014,12/16/2014,1/3/2015,1/10/2015,1/20/2015,1/23/2015,1/28/2015
10041,"BREED, GENEVIEVE",F,"$76,913.00 ",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/28/2014,12/9/2014,12/16/2014,12/28/2014,1/7/2015,1/15/2015,1/20/2015,1/28/2015
10042,"PRIVITT, JESICA",F,"$76,913.00 ",HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Community Health Nurse II,DAVID ANDERSON,Filled,11/5/2014,11/21/2014,12/1/2014,12/22/2014,1/1/2015,1/11/2015,1/18/2015,1/28/2015
10043,"KNOCH, BERNEICE",F,"$69,310.00 ",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/13/2014,11/25/2014,12/1/2014,12/19/2014,1/2/2015,1/10/2015,1/18/2015,1/28/2015
10044,"OSTBERG, DALLAS",F,"$72,812.00 ",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,MARIA TAYLOR,Filled,11/22/2014,11/30/2014,12/7/2014,12/31/2014,1/6/2015,1/13/2015,1/17/2015,1/28/2015
10045,"TOALSON, MEGAN",F,"$72,812.00 ",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,12/8/2014,12/10/2014,12/13/2014,12/28/2014,1/5/2015,1/9/2015,1/17/2015,1/28/2015
10046,"NIKOLICH, LEONEL",M,"$33,229.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/22/2014,12/10/2014,12/14/2014,12/28/2014,1/5/2015,1/12/2015,1/24/2015,1/27/2015
10047,"CARLTON, RAY",M,"$33,229.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,11/13/2014,11/24/2014,12/3/2014,12/19/2014,1/2/2015,1/10/2015,1/23/2015,1/27/2015
10048,"RITCH, FLORENCIO",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,12/3/2014,12/13/2014,12/16/2014,1/1/2015,1/12/2015,1/17/2015,1/22/2015,1/27/2015
10049,"VANOSTENBRIDGE, BRENDAN",M,"$53,000.00 ",DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Office Services Coordinator,JAMES JOHNSON,Filled,11/26/2014,12/3/2014,12/9/2014,12/30/2014,1/10/2015,1/17/2015,1/22/2015,1/27/2015
10050,"LABANOWSKI, QUENTIN",M,"$33,229.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/13/2014,11/20/2014,11/26/2014,12/18/2014,12/31/2014,1/15/2015,1/22/2015,1/27/2015
10051,"WHEELAN, PENNEY",F,"$82,300.00 ",HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Supervisory Therapist,MARIA TAYLOR,Filled,11/9/2014,11/22/2014,11/26/2014,12/20/2014,12/31/2014,1/11/2015,1/18/2015,1/27/2015
10052,"HAZE, ALDO",M,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/10/2014,11/25/2014,12/6/2014,12/25/2014,1/6/2015,1/12/2015,1/17/2015,1/27/2015
10053,"GREIER, ELLIS",M,"$39,062.00 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/14/2014,11/20/2014,12/4/2014,12/22/2014,12/29/2014,1/4/2015,1/15/2015,1/27/2015
10054,"WINKWORTH, HONG",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/14/2014,11/19/2014,11/28/2014,12/13/2014,12/25/2014,1/3/2015,1/14/2015,1/27/2015
10055,"MASSAD, ABRAM",M,"$33,229.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/4/2014,11/17/2014,11/24/2014,12/14/2014,12/28/2014,1/8/2015,1/12/2015,1/27/2015
10056,"OUCHI, HUGH",M,"$50,000.00 ",LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,SUSAN HERNANDEZ,Filled,11/16/2014,11/23/2014,11/28/2014,12/14/2014,12/21/2014,12/30/2014,1/12/2015,1/27/2015
10057,"BESHORE, THUY",F,"$44,080.00 ",COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/8/2014,11/20/2014,12/1/2014,12/15/2014,12/27/2014,12/29/2014,1/12/2015,1/27/2015
10058,"GIOIELLI, CASSANDRA",F,"$24,438.60 ",SHF,Sheriff's Office,Sheriff Domestic Violence,Parttime-Regular,Public Safety Reporting Aide I,THOMAS WHITE,Filled,11/7/2014,11/13/2014,11/22/2014,12/14/2014,12/30/2014,1/4/2015,1/10/2015,1/27/2015
10059,"PENG, ROOSEVELT",M,"$42,579.00 ",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,MARIA TAYLOR,Filled,11/14/2014,11/17/2014,12/4/2014,12/30/2014,1/6/2015,1/14/2015,1/23/2015,1/26/2015
10060,"LOEHMANN, MILLARD",M,"$33,229.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,11/16/2014,12/1/2014,12/8/2014,12/25/2014,1/6/2015,1/17/2015,1/22/2015,1/26/2015
10061,"MASTROGIACOMO, AMBER",F,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/19/2014,11/24/2014,11/28/2014,12/20/2014,1/1/2015,1/12/2015,1/22/2015,1/26/2015
10062,"MUDLOFF, NIKOLE",F,"$42,579.00 ",HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,DAVID ANDERSON,Filled,11/22/2014,11/30/2014,12/4/2014,12/20/2014,1/3/2015,1/11/2015,1/22/2015,1/26/2015
10063,"SCHULTHEIS, ANDERSON",M,"$92,534.48 ",DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Information Technology Specialist II,BARBARA DAVIS,Filled,11/20/2014,12/5/2014,12/13/2014,12/25/2014,1/4/2015,1/10/2015,1/22/2015,1/26/2015
10064,"TREVIS, SAM",M,"$64,638.42 ",OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,SUSAN HERNANDEZ,Filled,11/15/2014,11/20/2014,12/2/2014,12/22/2014,1/3/2015,1/15/2015,1/21/2015,1/26/2015
10065,"MICKENS, LIZETH",F,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,MICHAEL GARCIA,Filled,11/11/2014,11/25/2014,12/3/2014,12/19/2014,1/4/2015,1/14/2015,1/21/2015,1/26/2015
10066,"SILLETT, ISSAC",M,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,MICHAEL GARCIA,Filled,11/11/2014,11/20/2014,11/26/2014,12/19/2014,1/1/2015,1/14/2015,1/21/2015,1/26/2015
10067,"PORAMBO, CLEMENTINA",F,"$51,000.00 ",DOT,Department of Transportation,Transit COS Marketing,Fulltime-Regular,Program Specialist I,LINDA JONES,Filled,11/21/2014,12/5/2014,12/11/2014,12/28/2014,1/7/2015,1/12/2015,1/21/2015,1/26/2015
10068,"EARLES, TERENCE",M,"$64,743.48 ",HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Information Technology Specialist III,MARIA TAYLOR,Filled,11/20/2014,11/29/2014,12/1/2014,12/22/2014,1/3/2015,1/9/2015,1/21/2015,1/26/2015
10069,"SLAGH, AKILAH",F,"$51,000.00 ",OHR,Office of Human Resources,Employee Benefits,Fulltime-Regular,Administrative Specialist I,SUSAN HERNANDEZ,Filled,11/2/2014,11/20/2014,11/25/2014,12/17/2014,12/31/2014,1/9/2015,1/21/2015,1/26/2015
10070,"TANNEY, MARQUITTA",F,"$17,288.00 ",LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Desk Assistant,SUSAN HERNANDEZ,Filled,11/10/2014,11/26/2014,12/3/2014,12/21/2014,1/1/2015,1/6/2015,1/21/2015,1/26/2015
10071,"ROBITAILLE, SHIRLEE",F,"$71,400.00 ",DOT,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Construction Representative III,ROBERT MILLER,Filled,10/29/2014,11/16/2014,11/25/2014,12/12/2014,12/24/2014,1/6/2015,1/21/2015,1/26/2015
10072,"HASSAY, ROLF",M,"$81,829.50 ",HCA,Department of Housing and Community Affairs,Multi-Family Housing Program,Fulltime-Regular,Senior Planning Specialist,JENNIFER MARTINEZ,Filled,11/8/2014,11/15/2014,11/24/2014,12/14/2014,12/22/2014,1/3/2015,1/21/2015,1/26/2015
10073,"HUINKER, GARRETT",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/3/2014,11/20/2014,11/24/2014,12/11/2014,12/23/2014,1/1/2015,1/21/2015,1/26/2015
10074,"SAMAND, MARIETTA",F,"$51,000.00 ",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/16/2014,11/28/2014,12/10/2014,12/28/2014,1/6/2015,1/16/2015,1/20/2015,1/26/2015
10075,"PECHACEK, ELENORE",F,"$37,497.00 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,11/22/2014,12/3/2014,12/8/2014,12/26/2014,1/4/2015,1/16/2015,1/20/2015,1/26/2015
10076,"BELZNER, EMMANUEL",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/20/2014,11/29/2014,12/5/2014,12/22/2014,12/31/2014,1/7/2015,1/20/2015,1/26/2015
10077,"OSTROVSKAYA, ARACELIS",F,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/28/2014,12/8/2014,12/13/2014,1/2/2015,1/12/2015,1/15/2015,1/18/2015,1/26/2015
10078,"MCSWEENEY, DANILO",M,"$48,450.00 ",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/16/2014,11/24/2014,11/27/2014,12/18/2014,12/31/2014,1/11/2015,1/18/2015,1/26/2015
10079,"REMINDER, BRIAN",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/12/2014,12/1/2014,12/8/2014,12/23/2014,12/31/2014,1/13/2015,1/17/2015,1/26/2015
10080,"LOCKIE, LESLEY",M,"$76,500.00 ",DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Information Technology Specialist III,PATRICIA WILLIAMS,Filled,11/19/2014,11/28/2014,12/7/2014,12/24/2014,12/31/2014,1/7/2015,1/17/2015,1/26/2015
10081,"MAREZ, MAXIMO",M,"$27,660.80 ",DLC,Department of Liquor Control,Fallsgrove,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/5/2014,11/17/2014,11/24/2014,12/15/2014,12/25/2014,1/7/2015,1/17/2015,1/26/2015
10082,"GORODETSKY, EVELYNN",F,"$44,080.00 ",COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/28/2014,11/29/2014,12/11/2014,12/27/2014,1/5/2015,1/11/2015,1/16/2015,1/26/2015
10083,"JOZWIAK, MOSE",M,"$39,062.00 ",DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician II,BARBARA DAVIS,Filled,11/24/2014,12/4/2014,12/11/2014,12/26/2014,1/3/2015,1/11/2015,1/16/2015,1/26/2015
10084,"SCHEUFELE, MODESTO",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/24/2014,12/4/2014,12/14/2014,12/29/2014,1/4/2015,1/8/2015,1/16/2015,1/26/2015
10085,"ZEHM, REVA",F,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/6/2014,11/20/2014,12/6/2014,12/19/2014,1/2/2015,1/10/2015,1/15/2015,1/26/2015
10086,"CLORE, HOSEA",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/9/2014,11/21/2014,11/30/2014,12/18/2014,1/1/2015,1/8/2015,1/15/2015,1/26/2015
10087,"MLINAR, GILBERT",M,"$39,062.00 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/31/2014,11/17/2014,11/24/2014,12/11/2014,12/25/2014,1/5/2015,1/15/2015,1/26/2015
10088,"BULTSMA, LYNDON",M,"$48,450.00 ",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/2/2014,11/13/2014,11/23/2014,12/16/2014,12/24/2014,1/3/2015,1/15/2015,1/26/2015
10089,"METTING, ZACHARIAH",M,"$39,062.00 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/19/2014,11/30/2014,12/7/2014,12/24/2014,12/29/2014,1/8/2015,1/14/2015,1/26/2015
10090,"DILEO, ZANE",M,"$42,579.00 ",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,CHARLES MOORE,Filled,11/14/2014,11/16/2014,11/23/2014,12/13/2014,12/27/2014,1/3/2015,1/12/2015,1/26/2015
10091,"MCMURDIE, ALISA",F,"$56,100.00 ",FIN,Department of Finance,Tax Operations,Fulltime-Regular,Accountant/Auditor III,MICHAEL GARCIA,Filled,11/5/2014,11/17/2014,11/21/2014,12/11/2014,12/24/2014,1/3/2015,1/11/2015,1/26/2015
10092,"ERBSTOESSER, KIRBY",M,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,ELIZABETH RODRIGUEZ,Filled,11/19/2014,11/27/2014,12/4/2014,12/22/2014,1/3/2015,1/6/2015,1/10/2015,1/26/2015
10093,"UCHIDA, LOLITA",F,"$22,826.07 ",LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Associate,SUSAN HERNANDEZ,Filled,11/5/2014,11/14/2014,11/23/2014,12/8/2014,12/19/2014,12/26/2014,1/10/2015,1/26/2015
10094,"TARASI, JOHNATHAN",M,"$39,062.00 ",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,JENNIFER MARTINEZ,Filled,11/4/2014,11/18/2014,11/22/2014,12/7/2014,12/22/2014,12/30/2014,1/8/2015,1/26/2015
10095,"VALLERGA, BOBBIE",F,"$44,080.00 ",COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/2/2014,11/16/2014,11/24/2014,12/18/2014,12/28/2014,12/31/2014,1/6/2015,1/26/2015
